ID,prediction
2019 X 7 X C1004 X AS17005,-0.7281457
2019 X 7 X C1004 X AS27000,27.082712
2019 X 7 X C1004 X AS27132,3.7556024
2019 X 7 X C1004 X AS27133,16.181879
2019 X 7 X C1004 X AS27134,23.215405
2019 X 7 X C1004 X AS27137,0.8086345
2019 X 7 X C1004 X AS27138,-3.4631693
2019 X 7 X C1004 X AS27139,-4.579021
2019 X 7 X C1004 X AS42018,-3.2774434
2019 X 7 X C1004 X AS46000,-2.0531082
2019 X 7 X C1007 X AS17005,-2.0355883
2019 X 7 X C1007 X AS27000,25.228191
2019 X 7 X C1007 X AS27132,5.862758
2019 X 7 X C1007 X AS27133,16.168024
2019 X 7 X C1007 X AS27134,21.49643
2019 X 7 X C1007 X AS27137,0.8388834
2019 X 7 X C1007 X AS27138,-3.061089
2019 X 7 X C1007 X AS27139,-4.3371634
2019 X 7 X C1007 X AS42018,-2.8815053
2019 X 7 X C1007 X AS46000,-1.5744851
2019 X 7 X C1008 X AS17005,-1.7656038
2019 X 7 X C1008 X AS27000,24.337055
2019 X 7 X C1008 X AS27132,4.2187023
2019 X 7 X C1008 X AS27133,5.2369895
2019 X 7 X C1008 X AS27134,3.3131552
2019 X 7 X C1008 X AS27137,-0.9594066
2019 X 7 X C1008 X AS27138,-3.190898
2019 X 7 X C1008 X AS27139,-3.4384274
2019 X 7 X C1008 X AS42018,-3.2525375
2019 X 7 X C1008 X AS46000,-2.9635463
2019 X 7 X C1009 X AS17005,-3.2007222
2019 X 7 X C1009 X AS27000,24.30363
2019 X 7 X C1009 X AS27132,5.064307
2019 X 7 X C1009 X AS27133,9.561804
2019 X 7 X C1009 X AS27134,12.729771
2019 X 7 X C1009 X AS27137,0.026614219
2019 X 7 X C1009 X AS27138,-3.3841803
2019 X 7 X C1009 X AS27139,-4.511994
2019 X 7 X C1009 X AS42018,-3.4493935
2019 X 7 X C1009 X AS46000,-2.2249455
2019 X 7 X C1010 X AS17005,-2.4655414
2019 X 7 X C1010 X AS27000,25.524036
2019 X 7 X C1010 X AS27132,4.439051
2019 X 7 X C1010 X AS27133,8.890539
2019 X 7 X C1010 X AS27134,12.463267
2019 X 7 X C1010 X AS27137,0.14667553
2019 X 7 X C1010 X AS27138,-3.19351
2019 X 7 X C1010 X AS27139,-4.3815002
2019 X 7 X C1010 X AS42018,-3.5046577
2019 X 7 X C1010 X AS46000,-2.4014733
2019 X 7 X C1011 X AS17005,-2.5177083
2019 X 7 X C1011 X AS27000,25.810682
2019 X 7 X C1011 X AS27132,4.590224
2019 X 7 X C1011 X AS27133,8.394401
2019 X 7 X C1011 X AS27134,15.1876545
2019 X 7 X C1011 X AS27137,0.8271458
2019 X 7 X C1011 X AS27138,-2.731587
2019 X 7 X C1011 X AS27139,-4.478137
2019 X 7 X C1011 X AS42018,-3.5843499
2019 X 7 X C1011 X AS46000,-2.4514837
2019 X 7 X C1014 X AS17005,-2.4314969
2019 X 7 X C1014 X AS27000,26.38041
2019 X 7 X C1014 X AS27132,4.843488
2019 X 7 X C1014 X AS27133,7.0863056
2019 X 7 X C1014 X AS27134,4.3116097
2019 X 7 X C1014 X AS27137,-0.5635069
2019 X 7 X C1014 X AS27138,-3.1924503
2019 X 7 X C1014 X AS27139,-3.6540594
2019 X 7 X C1014 X AS42018,-3.1002424
2019 X 7 X C1014 X AS46000,-2.6326432
2019 X 7 X C1015 X AS17005,-2.9648361
2019 X 7 X C1015 X AS27000,25.155529
2019 X 7 X C1015 X AS27132,3.363198
2019 X 7 X C1015 X AS27133,6.486201
2019 X 7 X C1015 X AS27134,4.5903754
